Designator,Mid X,Mid Y,Rotation,Layer
C1_12,183.515,38.895,270,top
C1_11,122.555,38.895,270,top
C1_10,61.595,38.895,270,top
C1_9,183.515,78.265,270,top
C1_8,122.555,78.265,270,top
C1_7,61.595,78.265,270,top
C1_6,183.515,117.635,270,top
C1_5,122.555,117.635,270,top
C1_4,61.595,117.635,270,top
C1_3,183.515,157.005,270,top
C1_2,122.555,157.005,270,top
C1,61.595,157.005,270,top
C2_12,169.545,41.91,0,top
C2_11,108.585,41.91,0,top
C2_10,47.625,41.91,0,top
C2_9,169.545,81.28,0,top
C2_8,108.585,81.28,0,top
C2_7,47.625,81.28,0,top
C2_6,169.545,120.65,0,top
C2_5,108.585,120.65,0,top
C2_4,47.625,120.65,0,top
C2_3,169.545,160.02,0,top
C2_2,108.585,160.02,0,top
C2,47.625,160.02,0,top
C3_12,177.8,34.29,180,top
C3_11,116.84,34.29,180,top
C3_10,55.88,34.29,180,top
C3_9,177.8,73.66,180,top
C3_8,116.84,73.66,180,top
C3_7,55.88,73.66,180,top
C3_6,177.8,113.03,180,top
C3_5,116.84,113.03,180,top
C3_4,55.88,113.03,180,top
C3_3,177.8,152.4,180,top
C3_2,116.84,152.4,180,top
C3,55.88,152.4,180,top
C4_12,177.8,36.195,180,top
C4_11,116.84,36.195,180,top
C4_10,55.88,36.195,180,top
C4_9,177.8,75.565,180,top
C4_8,116.84,75.565,180,top
C4_7,55.88,75.565,180,top
C4_6,177.8,114.935,180,top
C4_5,116.84,114.935,180,top
C4_4,55.88,114.935,180,top
C4_3,177.8,154.305,180,top
C4_2,116.84,154.305,180,top
C4,55.88,154.305,180,top
C5_12,177.8,38.1,0,top
C5_11,116.84,38.1,0,top
C5_10,55.88,38.1,0,top
C5_9,177.8,77.47,0,top
C5_8,116.84,77.47,0,top
C5_7,55.88,77.47,0,top
C5_6,177.8,116.84,0,top
C5_5,116.84,116.84,0,top
C5_4,55.88,116.84,0,top
C5_3,177.8,156.21,0,top
C5_2,116.84,156.21,0,top
C5,55.88,156.21,0,top
C6_12,168.91,33.655,180,top
C6_11,107.95,33.655,180,top
C6_10,46.99,33.655,180,top
C6_9,168.91,73.025,180,top
C6_8,107.95,73.025,180,top
C6_7,46.99,73.025,180,top
C6_6,168.91,112.395,180,top
C6_5,107.95,112.395,180,top
C6_4,46.99,112.395,180,top
C6_3,168.91,151.765,180,top
